orderId,client_id,order_date
1,6202,2022-06-07
2,3063,2022-06-09
3,3772,2022-06-07
4,2643,2022-05-04
5,2471,2022-04-03
6,5531,2022-05-13
7,2978,2022-06-29
8,9022,2022-04-21
9,2858,2022-04-29
10,8307,2022-05-02
11,4931,2022-04-27
12,6090,2022-04-24
13,4931,2022-04-03
14,335,2022-05-14
15,2643,2022-04-25
16,2092,2022-06-16
17,2571,2022-05-16
18,43,2022-04-20
19,2678,2022-05-10
20,4931,2022-06-26
21,2866,2022-06-10
22,7313,2022-05-07
23,4499,2022-05-24
24,4931,2022-05-08
25,60,2022-06-29
26,8419,2022-04-08
27,6592,2022-05-01
28,3815,2022-04-20
29,3242,2022-04-06
30,6496,2022-04-16
31,5262,2022-06-28
32,3273,2022-04-17
33,2698,2022-06-04
34,3301,2022-05-01
35,817,2022-06-22
36,7778,2022-05-04
37,4499,2022-04-25
38,2698,2022-06-27
39,6819,2022-05-06
40,3815,2022-06-24
41,817,2022-04-26
42,5832,2022-04-23
43,577,2022-04-02
44,4800,2022-06-07
45,817,2022-06-08
46,2620,2022-04-04
47,999,2022-04-28
48,5461,2022-04-02
49,6726,2022-06-05
50,8472,2022-04-24
51,3815,2022-04-16
52,5531,2022-06-19
53,6307,2022-05-29
54,7861,2022-06-12
55,4014,2022-05-03
56,4931,2022-06-04
57,4786,2022-05-04
58,7253,2022-06-04
59,2971,2022-04-05
60,2678,2022-05-27
61,6755,2022-05-01
62,5531,2022-04-05
63,6247,2022-05-07
64,3079,2022-06-11
65,60,2022-04-09
66,6090,2022-06-08
67,6987,2022-04-28
68,3199,2022-06-17
69,5531,2022-06-29
70,1448,2022-06-05
71,5531,2022-06-14
72,6203,2022-04-14
73,1650,2022-06-07
74,2957,2022-04-12
75,6683,2022-06-21
76,6656,2022-04-05
77,2346,2022-05-11
78,8845,2022-05-11
79,2978,2022-04-07
80,4931,2022-05-04
81,81,2022-05-03
82,7446,2022-05-02
83,5531,2022-04-23
84,817,2022-06-23
85,1040,2022-05-01
86,8531,2022-05-14
87,5531,2022-06-18
88,5531,2022-06-01
89,4931,2022-06-19
90,1021,2022-06-14
91,6307,2022-05-30
92,6307,2022-05-23
93,7171,2022-04-07
94,5339,2022-04-21
95,6932,2022-06-13
96,1516,2022-04-07
97,817,2022-05-02
98,2643,2022-04-24
99,3634,2022-04-28
100,5339,2022-04-24
101,2978,2022-06-24
102,5413,2022-06-11
103,3184,2022-04-16
104,2686,2022-04-05
105,5531,2022-05-10
106,6307,2022-05-04
107,7769,2022-06-23
108,557,2022-06-09
109,2678,2022-05-02
110,6016,2022-06-03
111,2003,2022-05-29
112,739,2022-04-06
113,3778,2022-04-22
114,342,2022-04-12
115,1242,2022-04-29
116,5592,2022-04-10
117,817,2022-04-12
118,562,2022-04-13
119,518,2022-05-09
120,4982,2022-04-30
121,8637,2022-04-28
122,5531,2022-05-23
123,7778,2022-05-04
124,1934,2022-04-17
125,5592,2022-05-06
126,2978,2022-04-02
127,8528,2022-03-31
128,3485,2022-04-16
129,6030,2022-06-03
130,1634,2022-04-15
131,60,2022-04-13
132,2435,2022-05-28
133,1934,2022-05-07
134,913,2022-05-15
135,8419,2022-04-13
136,5531,2022-05-09
137,6307,2022-06-15
138,4934,2022-05-14
139,817,2022-04-06
140,3815,2022-06-10
