productId,productname,price,stock,description,merchant_id
1,Bottom_46599,449.61,210,Product Bottom_46599,1
2,Bottom_33142,389.54,864,Product Bottom_33142,1
3,Bottom_52634,353.43,595,Product Bottom_52634,2
4,Bottom_36604,476.39,278,Product Bottom_36604,2
5,Bottom_27287,426.83,883,Product Bottom_27287,1
6,Bottom_1418,212.68,344,Product Bottom_1418,1
7,Bottom_39409,350.49,440,Product Bottom_39409,2
8,Bottom_15820,187.45,247,Product Bottom_15820,2
9,Bottom_29509,436.54,723,Product Bottom_29509,2
10,Bottom_25200,345.31,211,Product Bottom_25200,2
11,Bottom_55038,77.99,222,Product Bottom_55038,2
12,Bottom_9967,51.34,440,Product Bottom_9967,2
13,Bottom_41792,207.67,647,Product Bottom_41792,1
14,Bottom_53075,141.73,668,Product Bottom_53075,1
15,Bottom_39843,308.11,537,Product Bottom_39843,1
16,Bottom_14070,57.58,544,Product Bottom_14070,1
17,Bottom_41047,494.49,549,Product Bottom_41047,2
18,Bottom_2519,362.77,80,Product Bottom_2519,2
19,Bottom_17935,374.02,80,Product Bottom_17935,2
20,Bottom_8551,327.06,299,Product Bottom_8551,2
21,Bottom_34616,389.5,545,Product Bottom_34616,2
22,Bottom_258,178.59,106,Product Bottom_258,1
23,Bottom_50757,188.7,758,Product Bottom_50757,1
24,Bottom_56704,422.01,432,Product Bottom_56704,1
25,Bottom_102,498.56,804,Product Bottom_102,1
26,Bottom_36828,295.33,695,Product Bottom_36828,2
27,Bottom_21309,351.14,575,Product Bottom_21309,2
28,Bottom_62327,212.09,793,Product Bottom_62327,2
29,Bottom_15617,187.29,542,Product Bottom_15617,2
30,Bottom_14494,378.53,573,Product Bottom_14494,1
31,Bottom_37586,97.18,276,Product Bottom_37586,2
32,Bottom_18149,279.24,850,Product Bottom_18149,2
33,Bottom_36513,423.23,238,Product Bottom_36513,2
34,Bottom_57616,353.03,88,Product Bottom_57616,2
35,Bottom_32315,434.87,308,Product Bottom_32315,1
36,Bottom_16967,475.78,552,Product Bottom_16967,2
37,Bottom_55347,53.92,978,Product Bottom_55347,1
38,Bottom_38724,147.81,716,Product Bottom_38724,1
39,Bottom_11577,468.29,255,Product Bottom_11577,1
40,Bottom_58710,306.95,258,Product Bottom_58710,2
41,Bottom_22267,465.48,583,Product Bottom_22267,2
42,Bottom_34076,426.97,16,Product Bottom_34076,1
43,Bottom_51325,298.31,396,Product Bottom_51325,2
44,Blouse_62901,360.93,939,Product Blouse_62901,1
45,Blouse_64219,330.99,982,Product Blouse_64219,1
46,Blouse_50442,65.56,589,Product Blouse_50442,2
47,Blouse_17501,192.12,550,Product Blouse_17501,1
48,Blouse_37050,236.15,950,Product Blouse_37050,1
49,Blouse_13716,51.7,413,Product Blouse_13716,1
50,Blouse_24820,92.94,972,Product Blouse_24820,1
51,Blouse_24890,265.48,757,Product Blouse_24890,1
52,Blouse_16730,133.74,528,Product Blouse_16730,1
53,Blouse_57428,483.89,103,Product Blouse_57428,2
54,Blouse_40403,101.39,633,Product Blouse_40403,1
55,Blouse_25384,136.96,925,Product Blouse_25384,1
56,Blouse_22455,344.01,215,Product Blouse_22455,1
57,Blouse_58094,171.0,439,Product Blouse_58094,1
58,Blouse_56130,120.34,6,Product Blouse_56130,1
59,Blouse_450,464.24,897,Product Blouse_450,1
60,Blouse_13311,217.45,674,Product Blouse_13311,1
61,Blouse_38839,377.39,424,Product Blouse_38839,1
62,Blouse_24809,97.63,672,Product Blouse_24809,2
63,Blouse_5069,173.87,288,Product Blouse_5069,1
64,Blouse_63592,185.32,167,Product Blouse_63592,1
65,Blouse_35348,497.65,530,Product Blouse_35348,1
66,Blouse_12519,371.02,989,Product Blouse_12519,1
67,Blouse_36932,53.89,591,Product Blouse_36932,2
68,Blouse_7481,98.02,664,Product Blouse_7481,1
69,Blouse_59101,247.58,77,Product Blouse_59101,1
70,Blouse_28935,430.74,874,Product Blouse_28935,1
71,Blouse_12265,87.0,290,Product Blouse_12265,2
72,Blouse_40143,352.27,804,Product Blouse_40143,2
73,Blouse_12518,316.68,499,Product Blouse_12518,1
74,Blouse_2720,378.3,695,Product Blouse_2720,1
75,Blouse_32773,186.48,529,Product Blouse_32773,2
76,Blouse_35149,312.76,408,Product Blouse_35149,1
77,Blouse_15538,470.1,779,Product Blouse_15538,1
78,Blouse_7669,161.36,832,Product Blouse_7669,2
79,Blouse_13502,144.73,742,Product Blouse_13502,1
80,Blouse_48622,380.34,268,Product Blouse_48622,1
81,Blouse_12836,348.07,558,Product Blouse_12836,1
82,Blouse_24848,485.68,779,Product Blouse_24848,1
83,Blouse_31907,139.73,820,Product Blouse_31907,1
84,Blouse_63508,169.13,294,Product Blouse_63508,1
85,Blouse_21351,481.19,813,Product Blouse_21351,1
86,Blouse_2096,222.11,535,Product Blouse_2096,1
87,Blouse_30605,392.2,172,Product Blouse_30605,1
88,Blouse_48902,338.07,816,Product Blouse_48902,2
89,Blouse_33929,224.92,867,Product Blouse_33929,1
90,Blouse_29745,264.65,400,Product Blouse_29745,1
91,Blouse_56330,413.05,203,Product Blouse_56330,1
92,Blouse_2739,388.56,13,Product Blouse_2739,1
93,Blouse_49724,376.74,923,Product Blouse_49724,1
94,Blouse_12413,465.78,153,Product Blouse_12413,1
95,Blouse_63984,145.27,783,Product Blouse_63984,1
96,Blouse_50775,350.18,39,Product Blouse_50775,1
97,Blouse_63136,363.31,100,Product Blouse_63136,1
98,Blouse_37862,55.59,612,Product Blouse_37862,1
99,Blouse_23937,107.25,387,Product Blouse_23937,1
100,Blouse_64552,318.37,26,Product Blouse_64552,1
101,Blouse_43195,288.81,836,Product Blouse_43195,1
102,Blouse_38481,382.37,533,Product Blouse_38481,1
103,Blouse_49382,314.96,646,Product Blouse_49382,1
104,Blouse_27658,441.22,353,Product Blouse_27658,1
105,Blouse_52439,395.14,380,Product Blouse_52439,2
106,Blouse_6276,218.65,426,Product Blouse_6276,1
107,Blouse_52871,285.77,493,Product Blouse_52871,1
108,Blouse_54741,385.37,731,Product Blouse_54741,1
109,Blouse_45671,408.73,609,Product Blouse_45671,1
110,Blouse_40268,157.71,609,Product Blouse_40268,1
111,Blouse_48820,183.0,490,Product Blouse_48820,1
112,Blouse_16598,277.3,439,Product Blouse_16598,1
113,Blouse_60579,255.44,821,Product Blouse_60579,1
114,Blouse_11740,320.07,659,Product Blouse_11740,1
115,Blouse_48614,166.98,348,Product Blouse_48614,1
116,Blouse_49089,188.73,185,Product Blouse_49089,1
117,Blouse_54003,471.62,930,Product Blouse_54003,2
118,Blouse_52863,299.35,209,Product Blouse_52863,1
119,Blouse_34556,440.74,818,Product Blouse_34556,2
120,Blouse_1198,82.45,841,Product Blouse_1198,1
